LeftController  ;
timestamp;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
12.24 ;-0.1260557 ;1.253127 ;-3.804105 ;-0.1260557 ;1.253127 ;0.4058951 ;-0.007895895 ;-0.03837404 ;-0.4125339 ;0.9100994 ;-0.007895895 ;-0.03837404 ;-0.4125339 ;0.9100994 ;
12.26 ;-0.1246928 ;1.254123 ;-3.804373 ;-0.1246928 ;1.254123 ;0.4056275 ;-0.009056998 ;-0.03812478 ;-0.4078893 ;0.9121901 ;-0.009056998 ;-0.03812478 ;-0.4078893 ;0.9121901 ;
12.28 ;-0.1223409 ;1.255509 ;-3.804983 ;-0.1223409 ;1.255509 ;0.4050171 ;-0.009165846 ;-0.03608171 ;-0.3996252 ;0.9159224 ;-0.009165846 ;-0.03608171 ;-0.3996252 ;0.9159224 ;
12.3 ;-0.121321 ;1.256515 ;-3.804994 ;-0.121321 ;1.256515 ;0.4050065 ;-0.009669027 ;-0.0362495 ;-0.3948317 ;0.9179872 ;-0.009669027 ;-0.0362495 ;-0.3948317 ;0.9179872 ;
12.32 ;-0.1193677 ;1.258098 ;-3.8053 ;-0.1193677 ;1.258098 ;0.4047 ;-0.01035348 ;-0.03639004 ;-0.3873869 ;0.9211406 ;-0.01035348 ;-0.03639004 ;-0.3873869 ;0.9211406 ;
12.34 ;-0.1197413 ;1.256573 ;-3.806462 ;-0.1197413 ;1.256573 ;0.4035382 ;-0.009893629 ;-0.03348566 ;-0.3960471 ;0.9175661 ;-0.009893629 ;-0.03348566 ;-0.3960471 ;0.9175661 ;
12.36 ;-0.1196411 ;1.255889 ;-3.807173 ;-0.1196411 ;1.255889 ;0.4028266 ;-0.01009723 ;-0.03278559 ;-0.4011975 ;0.9153489 ;-0.01009723 ;-0.03278559 ;-0.4011975 ;0.9153489 ;
12.38 ;-0.1193407 ;1.255256 ;-3.807744 ;-0.1193407 ;1.255256 ;0.4022562 ;-0.01328149 ;-0.02899512 ;-0.4072135 ;0.912776 ;-0.01328149 ;-0.02899512 ;-0.4072135 ;0.912776 ;
12.4 ;-0.1182563 ;1.255435 ;-3.808373 ;-0.1182563 ;1.255435 ;0.401627 ;-0.01533243 ;-0.02660115 ;-0.4085535 ;0.9122179 ;-0.01533243 ;-0.02660115 ;-0.4085535 ;0.9122179 ;
12.42 ;-0.1204288 ;1.253689 ;-3.808238 ;-0.1204288 ;1.253689 ;0.4017625 ;-0.01563342 ;-0.02976972 ;-0.4196394 ;0.9070679 ;-0.01563342 ;-0.02976972 ;-0.4196394 ;0.9070679 ;
